Date,MCD
2/03/2015 16:00,100
3/03/2015 16:00,99.74
4/03/2015 16:00,100.25
5/03/2015 16:00,99.11
6/03/2015 16:00,97.13
9/03/2015 16:00,97.71
10/03/2015 16:00,96.29
11/03/2015 16:00,94.96
12/03/2015 16:00,96.25
13/03/2015 16:00,96.35
16/03/2015 16:00,97.15
17/03/2015 16:00,96.17
18/03/2015 16:00,97
19/03/2015 16:00,95.98
20/03/2015 16:00,97.05
23/03/2015 16:00,98.62
24/03/2015 16:00,99.36
25/03/2015 16:00,98.14
26/03/2015 16:00,97.64
27/03/2015 16:00,96.96
30/03/2015 16:00,97.88
31/03/2015 16:00,97.44
1/04/2015 16:00,96.29
2/04/2015 16:00,95.83
6/04/2015 16:00,96.28
7/04/2015 16:00,96.35
8/04/2015 16:00,96.85
9/04/2015 16:00,96.55
10/04/2015 16:00,97.8
13/04/2015 16:00,97.44
14/04/2015 16:00,97.58
15/04/2015 16:00,96.44
16/04/2015 16:00,95.63
17/04/2015 16:00,94.88
20/04/2015 16:00,96.18
21/04/2015 16:00,94.87
22/04/2015 16:00,97.84
23/04/2015 16:00,97
24/04/2015 16:00,98.74
27/04/2015 16:00,96.44
28/04/2015 16:00,96.83
29/04/2015 16:00,97.02
30/04/2015 16:00,96.55
1/05/2015 16:00,97.8
4/05/2015 16:00,96.13
5/05/2015 16:00,96.13
6/05/2015 16:00,96.39
7/05/2015 16:00,96.78
8/05/2015 16:00,98.23
11/05/2015 16:00,97.51
12/05/2015 16:00,97.95
13/05/2015 16:00,97.35
14/05/2015 16:00,97.71
15/05/2015 16:00,98.04
18/05/2015 16:00,98.02
19/05/2015 16:00,100.68
20/05/2015 16:00,100.11
21/05/2015 16:00,99.28
22/05/2015 16:00,98.99
26/05/2015 16:00,98.46
27/05/2015 16:00,98.66
28/05/2015 16:00,96.48
29/05/2015 16:00,95.93
1/06/2015 16:00,96.22
2/06/2015 16:00,96.29
3/06/2015 16:00,96.52
4/06/2015 16:00,96.31
5/06/2015 16:00,95.54
8/06/2015 16:00,95.32
9/06/2015 16:00,94.73
10/06/2015 16:00,95.3
11/06/2015 16:00,95.59
12/06/2015 16:00,95.06
15/06/2015 16:00,94.3
16/06/2015 16:00,94.63
17/06/2015 16:00,95.22
18/06/2015 16:00,96.17
19/06/2015 16:00,96.08
22/06/2015 16:00,96.87
23/06/2015 16:00,97.18
24/06/2015 16:00,96.64
25/06/2015 16:00,95.79
26/06/2015 16:00,97.29
29/06/2015 16:00,95.44
30/06/2015 16:00,95.07
1/07/2015 16:00,95.76
2/07/2015 16:00,96.17
6/07/2015 16:00,95.65
7/07/2015 16:00,96.68
8/07/2015 16:00,95.84
9/07/2015 16:00,96.49
10/07/2015 16:00,97.65
13/07/2015 16:00,98.43
14/07/2015 16:00,98.78
15/07/2015 16:00,99.07
16/07/2015 16:00,97.86
17/07/2015 16:00,97.5
20/07/2015 16:00,97.49
21/07/2015 16:00,97.32
22/07/2015 16:00,97.58
23/07/2015 16:00,97.09
24/07/2015 16:00,96.1
27/07/2015 16:00,96.04
28/07/2015 16:00,97.33
29/07/2015 16:00,98.21
30/07/2015 16:00,99.17
31/07/2015 16:00,99.86
3/08/2015 16:00,99.42
