Date,BHP
2/03/2015 16:00,43.71
3/03/2015 16:00,43.46
4/03/2015 16:00,43.15
5/03/2015 16:00,42.57
6/03/2015 16:00,41.25
9/03/2015 16:00,41.32
10/03/2015 16:00,39.66
11/03/2015 16:00,38.1
12/03/2015 16:00,38.41
13/03/2015 16:00,37.24
16/03/2015 16:00,37.8
17/03/2015 16:00,38.57
18/03/2015 16:00,39.49
19/03/2015 16:00,38.95
20/03/2015 16:00,40.17
23/03/2015 16:00,41.3
24/03/2015 16:00,41.03
25/03/2015 16:00,40.58
26/03/2015 16:00,40.16
27/03/2015 16:00,39.37
30/03/2015 16:00,39.44
31/03/2015 16:00,38.84
1/04/2015 16:00,38.52
2/04/2015 16:00,38.08
6/04/2015 16:00,38.88
7/04/2015 16:00,39.05
8/04/2015 16:00,39.06
9/04/2015 16:00,38.32
10/04/2015 16:00,38.3
13/04/2015 16:00,36.69
14/04/2015 16:00,38.13
15/04/2015 16:00,38.54
16/04/2015 16:00,39.13
17/04/2015 16:00,38.82
20/04/2015 16:00,39.23
21/04/2015 16:00,38.66
22/04/2015 16:00,39.95
23/04/2015 16:00,41.14
24/04/2015 16:00,42.66
27/04/2015 16:00,43.07
28/04/2015 16:00,43.69
29/04/2015 16:00,43.36
30/04/2015 16:00,42.87
1/05/2015 16:00,43.4
4/05/2015 16:00,43.6
5/05/2015 16:00,43.49
6/05/2015 16:00,42.97
7/05/2015 16:00,42.02
8/05/2015 16:00,42.46
11/05/2015 16:00,42.7
12/05/2015 16:00,43.33
13/05/2015 16:00,43.31
14/05/2015 16:00,43.28
15/05/2015 16:00,43.09
18/05/2015 16:00,43.14
19/05/2015 16:00,41
20/05/2015 16:00,41.02
21/05/2015 16:00,41.28
22/05/2015 16:00,40.91
26/05/2015 16:00,40.3
27/05/2015 16:00,40.31
28/05/2015 16:00,39.75
29/05/2015 16:00,39.81
1/06/2015 16:00,39.25
2/06/2015 16:00,40.17
3/06/2015 16:00,39.59
4/06/2015 16:00,38.44
5/06/2015 16:00,38.27
8/06/2015 16:00,38.2
9/06/2015 16:00,37.65
10/06/2015 16:00,38.82
11/06/2015 16:00,38.82
12/06/2015 16:00,38.62
15/06/2015 16:00,38.25
16/06/2015 16:00,38.44
17/06/2015 16:00,38.87
18/06/2015 16:00,39.49
19/06/2015 16:00,39.07
