Date,PFE
2/03/2015 16:00,32.94
3/03/2015 16:00,32.74
4/03/2015 16:00,32.82
5/03/2015 16:00,32.65
6/03/2015 16:00,32.18
9/03/2015 16:00,32.24
10/03/2015 16:00,32
11/03/2015 16:00,31.86
12/03/2015 16:00,32.21
13/03/2015 16:00,32.21
16/03/2015 16:00,32.63
17/03/2015 16:00,32.37
18/03/2015 16:00,32.57
19/03/2015 16:00,32.35
20/03/2015 16:00,32.45
23/03/2015 16:00,33.2
24/03/2015 16:00,32.7
25/03/2015 16:00,32.49
26/03/2015 16:00,32.36
27/03/2015 16:00,32.71
30/03/2015 16:00,33.16
31/03/2015 16:00,32.96
1/04/2015 16:00,32.52
2/04/2015 16:00,32.57
6/04/2015 16:00,32.66
7/04/2015 16:00,32.72
8/04/2015 16:00,32.82
9/04/2015 16:00,33.19
10/04/2015 16:00,33.57
13/04/2015 16:00,33.24
14/04/2015 16:00,33.19
15/04/2015 16:00,33.36
16/04/2015 16:00,33.34
17/04/2015 16:00,33.19
20/04/2015 16:00,33.17
21/04/2015 16:00,33.05
22/04/2015 16:00,33.09
23/04/2015 16:00,33.5
24/04/2015 16:00,33.41
27/04/2015 16:00,32.77
28/04/2015 16:00,32.66
29/04/2015 16:00,32.48
30/04/2015 16:00,32.14
1/05/2015 16:00,32.29
4/05/2015 16:00,32.51
5/05/2015 16:00,32.32
6/05/2015 16:00,31.7
7/05/2015 16:00,31.81
8/05/2015 16:00,32.23
11/05/2015 16:00,32.17
12/05/2015 16:00,32
13/05/2015 16:00,31.76
14/05/2015 16:00,32.15
15/05/2015 16:00,32.2
18/05/2015 16:00,32.19
19/05/2015 16:00,32.41
20/05/2015 16:00,32.49
21/05/2015 16:00,32.55
22/05/2015 16:00,32.47
26/05/2015 16:00,32.31
27/05/2015 16:00,32.49
28/05/2015 16:00,32.63
29/05/2015 16:00,32.92
1/06/2015 16:00,32.74
2/06/2015 16:00,32.67
3/06/2015 16:00,32.6
4/06/2015 16:00,32.44
5/06/2015 16:00,32.29
8/06/2015 16:00,32.19
9/06/2015 16:00,32.22
10/06/2015 16:00,32.5
11/06/2015 16:00,32.65
12/06/2015 16:00,32.41
15/06/2015 16:00,32.25
16/06/2015 16:00,32.25
17/06/2015 16:00,32.19
18/06/2015 16:00,32.56
19/06/2015 16:00,32.38
22/06/2015 16:00,32.5
23/06/2015 16:00,32.68
24/06/2015 16:00,32.43
25/06/2015 16:00,32.23
26/06/2015 16:00,32.13
29/06/2015 16:00,31.82
30/06/2015 16:00,31.76
1/07/2015 16:00,31.92
2/07/2015 16:00,31.61
6/07/2015 16:00,31.5
7/07/2015 16:00,31.95
8/07/2015 16:00,31.69
9/07/2015 16:00,32.08
10/07/2015 16:00,32.55
13/07/2015 16:00,32.99
14/07/2015 16:00,33.23
15/07/2015 16:00,33.14
